"","topic"
"div231.020509","Finance Bill"
"div232.020509","Finance Bill"
"div233.020509","Finance Bill"
"div234.020510","Home Energy Conservation Bill"
"div235.020513","National Insurance Contributions Bill"
"div236.020514","Modernisation of the House of Commons"
"div237.020514","Modernisation of the House of Commons"
"div238.020514","Modernisation of the House of Commons"
"div239.020514","Modernisation of the House of Commons"
"div240.020514","Modernisation of the House of Commons"
"div241.020515","Post Office Closures"
"div242.020515","Johannesburg Summit"
"div243.020516","Adoption and Children Bill"
"div244.020516","Adoption and Children Bill"
"div245.020516","Adoption and Children Bill"
"div246.020520","Adoption and Children Bill"
"div247.020520","Adoption and Children Bill"
"div248.020521","School Discipline"
"div249.020521","Special Educational Needs"
"div250.020521","Special Educational Needs"
"div251.020522","National Health Service Reform and Health Care Professions Bill"
"div252.020522","National Health Service Reform and Health Care Professions Bill"
"div253.020523","State Pension Credit Bill [Lords]"
"div254.020610","National Insurance Contributions Bill"
"div255.020610","National Insurance Contributions Bill"
"div256.020610","National Insurance Contributions Bill"
"div257.020610","National Insurance Contributions Bill"
"div258.020610","National Insurance Contributions Bill"
"div259.020611","Nationality, Immigration and Asylum Bill (Programme) (No. 3)"
"div260.020611","Nationality, Immigration and Asylum Bill"
"div261.020611","Nationality, Immigration and Asylum Bill"
"div262.020611","Nationality, Immigration and Asylum Bill"
"div263.020611","Nationality, Immigration and Asylum Bill"
"div264.020611","Nationality, Immigration and Asylum Bill"
"div265.020611","Nationality, Immigration and Asylum Bill"
"div266.020611","Nationality, Immigration and Asylum Bill"
"div267.020611","Nationality, Immigration and Asylum Bill"
"div268.020612","Nationality, Immigration and Asylum Bill"
"div269.020612","Nationality, Immigration and Asylum Bill"
"div270.020612","Nationality, Immigration and Asylum Bill"
"div271.020612","Nationality, Immigration and Asylum Bill"
"div272.020612","Nationality, Immigration and Asylum Bill"
"div273.020613","Enterprise Bill"
"div274.020613","Enterprise Bill"
"div275.020617","Enterprise Bill"
"div276.020619","World Poverty"
"div277.020619","House of Lords Reform (Joint Committee)"
"div278.020624","Export Control Bill"
"div279.020624","Export Control Bill"
"div280.020624","Single European Sky"
"div281.020624","Single European Sky"
"div282.020625","Mental Health"
"div283.020625","Zimbabwe"
"div284.020626","Tax Credits Bill"
"div285.020627","Individual Learning Accounts"
"div286.020702","Funded Pensions"
"div287.020702","Funded Pensions"
"div288.020703","Finance Bill"
"div289.020703","Finance Bill"
"div290.020703","Finance Bill"
"div291.020704","Finance Bill"
"div292.020704","Finance Bill"
"div293.020704","Finance Bill"
"div294.020704","Finance Bill"
"div295.020704","Finance Bill"
"div296.020704","Finance Bill"
"div297.020708","Care Homes"
"div298.020708","Care Homes"
"div299.020709","Mersey Tunnels Bill (By  Order)"
"div300.020709","Mersey Tunnels Bill (By  Order)"
"div301.020710","Deferred Divisions"
"div302.020710","Deferred Divisions"
"div303.020710","Police Reform Bill [Lords]"
"div304.020710","Police Reform Bill [Lords]"
"div305.020710","Police Reform Bill [Lords]"
"div306.020710","Police Reform Bill [Lords]"
"div307.020715","Education Bill"
"div308.020715","Education Bill"
"div309.020715","Education Bill"
"div310.020715","Education Bill"
"div311.020717","Deferred Divisions"
"div312.020718","Proceeds of Crime Bill"
"div313.020718","Proceeds of Crime Bill"
"div314.020718","Proceeds of Crime Bill"
"div315.020718","Proceeds of Crime Bill"
"div316.020724","Deferred Divisions"
"div317.020724","Education"
"div318.020724","Education"
"div319.020924","Iraq and Weapons of Mass Destruction"
"div320.021015","Urban Post Office Reinvention Programme"
"div321.021016","Department for Education and Skills"
"div322.021016","Rural Economy"
"div323.021016","Rural Economy"
"div324.021021","Tobacco Advertising and Promotion Bill [Lords]"
"div325.021022","Affordable Housing"
"div326.021022","Nuclear Power"
"div327.021022","Nuclear Power"
"div328.021023","National Lottery"
"div329.021028","HIV/AIDS (Africa and Asia)"
"div330.021028","Access To Facilities Of The House"
"div331.021028","Human Rights Act"
"div332.021029","Modernisation of the House of Commons"
"div333.021029","Modernisation of the House of Commons"
"div334.021029","Modernisation of the House of Commons"
"div335.021029","Modernisation of the House of Commons"
"div336.021029","Modernisation of the House of Commons"
"div337.021029","Modernisation of the House of Commons"
"div338.021029","Modernisation of the House of Commons"
"div339.021029","Modernisation of the House of Commons"
"div340.021029","Modernisation of the House of Commons"
"div341.021029","Modernisation of the House of Commons"
"div342.021029","Modernisation of the House of Commons"
"div343.021030","Enterprise Bill"
"div344.021030","Enterprise Bill"
"div345.021104","Adoption and Children Bill"
"div346.021105","Nationality, Immigration and Asylum Bill"
"div347.021105","Nationality, Immigration and Asylum Bill"
"div348.021105","Nationality, Immigration and Asylum Bill"
"div349.021105","Nationality, Immigration and Asylum Bill"
"div350.021105","Nationality, Immigration and Asylum Bill"
"div351.021105","Nationality, Immigration and Asylum Bill"
"div352.021105","Nationality, Immigration and Asylum Bill"
"div353.021105","Nationality, Immigration and Asylum Bill"
"div354.021105","Nationality, Immigration and Asylum Bill"
"div355.021106","Animal Health Bill"
"div356.021106","Animal Health Bill"
"div357.021106","Animal Health Bill"
"div358.021106","Animal Health Bill"
"div359.021106","Animal Health Bill"
"div360.021107","Nationality, Immigration and Asylum Bill"
"div361.021107","Nationality, Immigration and Asylum Bill"
"div001.021119","Regions, Transport and DEFRA"
"div002.021120","Home Affairs"
"div003.021120","Home Affairs"
"div004.021120","Home Affairs"
"div005.021121","Common Fisheries Policy"
"div006.021125","UN Security Council Resolution 1441"
"div007.021126","Regional Assemblies (Preparations) Bill"
"div008.021126","Regional Assemblies (Preparations) Bill"
"div009.021126","Regional Assemblies (Preparations) Bill"
"div010.021127","Health (Wales) Bill"
"div011.021128","Community Care (Delayed Discharges etc.) Bill"
"div012.021128","Community Care (Delayed Discharges etc.) Bill"
"div013.021128","Community Care (Delayed Discharges etc.) Bill"
"div014.021202","Policing (Northern Ireland)"
"div015.021203","Communications Bill"
"div016.021203","Communications Bill"
"div017.021204","Deferred Divisions"
"div018.021204","Deferred Divisions"
"div019.021204","Criminal Justice Bill"
"div020.021204","Criminal Justice Bill"
"div021.021209","Extradition Bill"
"div022.021209","Extradition Bill"
"div023.021212","Environment, Food and Rural Affairs"
"div024.021212","Environment, Food and Rural Affairs"
"div025.021216","Hunting Bill"
"div026.021216","Hunting Bill"
"div027.021216","Hunting Bill"
"div028.021216","Hunting Bill"
"div029.021216","Hunting Bill"
"div030.021217","Planning and Compulsory Purchase Bill"
"div031.021217","Planning and Compulsory Purchase Bill"
"div032.021217","Planning and Compulsory Purchase Bill"
"div033.021217","Planning and Compulsory Purchase Bill"
"div034.021218","Deferred Divisions"
"div035.021218","Regional Assemblies (Preparations) Bill"
"div036.021218","Regional Assemblies (Preparations) Bill"
"div037.021218","Regional Assemblies (Preparations) Bill"
"div038.030107","Local Government Bill"
"div039.030107","Local Government Bill"
"div040.030107","Local Government Bill"
"div041.030107","Local Government Bill"
"div042.030108","Foundation Hospitals"
"div043.030108","Foundation Hospitals"
"div044.030109","Health (Wales) Bill"
"div045.030109","Health (Wales) Bill"
"div046.030113","Criminal Justice System"
"div047.030113","Drugs Policy"
"div048.030113","Drugs Policy"
"div049.030114","Education (Northern Ireland)"
"div050.030115","Community Care (Delayed Discharges etc.) Bill"
"div051.030115","Community Care (Delayed Discharges etc.) Bill"
"div052.030115","Community Care (Delayed Discharges etc.) Bill"
"div053.030115","Community Care (Delayed Discharges etc.) Bill"
"div054.030115","Community Care (Delayed Discharges etc.) Bill"
"div055.030116","Fisheries"
"div056.030120","Occupational Pensions"
"div057.030120","Food Supplements Directive"
"div058.030120","Food Supplements Directive"
"div059.030122","Defence in the World"
"div060.030123","Regional Assemblies (Preparations) Bill (Programme) (No. 3)"
"div061.030123","Regional Assemblies (Preparations) Bill"
"div062.030123","Regional Assemblies (Preparations) Bill"
"div063.030123","Regional Assemblies (Preparations) Bill"
"div064.030123","Regional Assemblies (Preparations) Bill"
"div065.030123","Regional Assemblies (Preparations) Bill"
"div066.030127","Electricity (Miscellaneous Provisions) Bill"
"div067.030127","Electricity (Miscellaneous Provisions) Bill"
"div068.030128","Railways and Transport Safety Bill"
"div069.030128","Lord Chancellor's Department"
"div070.030131","Company Directors' Performance and Compensation Bill"
"div071.030203","European Parliament (Representation) Bill"
"div072.030203","European Parliament (Representation) Bill"
"div073.030203","European Parliament (Representation) Bill"
"div074.030203","European Parliament (Representation) Bill"
"div075.030204","House of Lords Reform"
"div076.030204","House of Lords Reform"
"div077.030204","House of Lords Reform"
"div078.030204","House of Lords Reform"
"div079.030204","House of Lords Reform"
"div080.030205","Police"
"div081.030205","Local Government Finance"
"div082.030206","Electricity (Miscellaneous Provisions) Bill"
"div083.030206","Electricity (Miscellaneous Provisions) Bill"
"div084.030206","Electricity (Miscellaneous Provisions) Bill"
"div085.030206","Electricity (Miscellaneous Provisions) Bill"
"div086.030210","Police (Northern Ireland) Bill [Lords]"
"div087.030211","Northern Ireland"
"div088.030212","Economy and Public Services"
"div089.030212","Economy and Public Services"
"div090.030212","Mid-Term Review of the Common Agricultural Policy"
"div091.030212","Mid-Term Review of the Common Agricultural Policy"
"div092.030224","Industrial Development (Financial Assistance) Bill"
"div093.030225","Communications Bill"
"div094.030225","Communications Bill"
"div095.030225","Communications Bill"
"div096.030226","Iraq"
"div097.030226","Iraq"
"div098.030304","Communications Bill"
"div099.030306","Gurkha Regiment"
"div100.030304","Communications Bill"
"div101.030305","Local Government Bill"
"div102.030305","Local Government Bill"
"div103.030305","Local Government Bill"
"div104.030305","Local Government Bill"
"div105.030307","Retirement Income Reform Bill"
"div106.030307","Retirement Income Reform Bill"
"div107.030310","Local Government Bill"
"div108.030310","Local Government Bill"
"div109.030310","Local Government Bill"
"div110.030310","Local Government Bill"
"div111.030310","Local Government Bill"
"div112.030311","Specialist Schools (Selection by Aptitude)"
"div113.030312","Deferred Divisions"
"div114.030314","Government Powers (Limitation) Bill"
"div115.030317","Northern Ireland Assembly Elections Bill"
"div116.030317","Personal Statement"
"div117.030318","Iraq"
"div118.030318","Iraq"
"div119.030319","Community Care (Delayed Discharges Etc.) Bill"
"div120.030319","Community Care (Delayed Discharges Etc.) Bill"
"div121.030319","Community Care (Delayed Discharges Etc.) Bill"
"div122.030319","Community Care (Delayed Discharges Etc.) Bill"
"div123.030319","Community Care (Delayed Discharges Etc.) Bill"
"div124.030319","Community Care (Delayed Discharges Etc.) Bill"
"div125.030319","Community Care (Delayed Discharges Etc.) Bill"
"div126.030319","Community Care (Delayed Discharges Etc.) Bill"
"div127.030319","Community Care (Delayed Discharges Etc.) Bill"
"div128.030319","Community Care (Delayed Discharges Etc.) Bill"
"div129.030319","Community Care (Delayed Discharges Etc.) Bill"
"div130.030319","Community Care (Delayed Discharges Etc.) Bill"
"div131.030324","Licensing Bill [Lords]"
"div132.030325","Extradition Bill"
"div133.030325","Extradition Bill"
"div134.030325","Extradition Bill"
"div135.030325","Extradition Bill"
"div136.030325","Extradition Bill"
"div137.030326","Points of Order"
"div138.030326","Police (Northern Ireland) Bill [Lords]"
"div139.030326","Police (Northern Ireland) Bill [Lords]"
"div140.030326","Police (Northern Ireland) Bill [Lords]"
"div141.030326","Police (Northern Ireland) Bill [Lords]"
"div142.030326","Police (Northern Ireland) Bill [Lords]"
"div143.030327","Police (Northern Ireland) Bill [Lords]"
"div144.030327","Police (Northern Ireland) Bill [Lords]"
"div145.030327","Police (Northern Ireland) Bill [Lords]"
"div146.030327","Police (Northern Ireland) Bill [Lords]"
"div147.030327","Police (Northern Ireland) Bill [Lords]"
"div148.030327","Police (Northern Ireland) Bill [Lords]"
"div149.030331","Railways and Transport Safety Bill"
"div150.030331","Railways and Transport Safety Bill"
"div151.030331","Railways and Transport Safety Bill"
"div152.030331","Railways and Transport Safety Bill"
"div153.030401","Crime (International Co-operation) Bill [Lords]"
"div154.030402","Criminal Justice Bill"
"div155.030402","Criminal Justice Bill"
"div156.030402","Criminal Justice Bill"
"div157.030402","Criminal Justice Bill"
"div158.030402","Criminal Justice Bill"
"div159.030402","Criminal Justice Bill"
"div160.030402","Criminal Justice Bill"
"div161.030408","Anti-social Behaviour Bill"
"div162.030414","Smoking (Restaurants) Bill"
"div163.030414","Budget Resolutions and Economic Situation"
"div164.030414","Budget Resolutions and Economic Situation"
"div165.030414","Budget Resolutions and Economic Situation"
"div166.030414","Budget Resolutions and Economic Situation"
"div167.030414","Budget Resolutions and Economic Situation"
"div168.030414","Budget Resolutions and Economic Situation"
"div169.030414","Budget Resolutions and Economic Situation"
"div170.030414","Budget Resolutions and Economic Situation"
"div171.030428","European Parliament (Representation) Bill"
"div172.030428","European Parliament (Representation) Bill"
"div173.030429","Community Services"
"div174.030429","Community Services"
"div175.030506","Finance Bill"
"div176.030506","Finance Bill"
"div177.030507","Health and Social Care (Community Health and Standards) Bill"
"div178.030507","Health and Social Care (Community Health and Standards) Bill"
"div179.030507","Health and Social Care (Community Health and Standards) Bill"
"div180.030508","Fire Services Bill"
"div181.030508","Fire Services Bill"
"div182.030512","Northern Ireland Assembly (Elections and Periods of Suspension) Bill (Allocation of Time)"
"div183.030512","Northern Ireland Assembly (Elections and Periods of Suspension) Bill"
"div184.030512","Northern Ireland Assembly (Elections and Periods of Suspension) Bill"
"div185.030512","Northern Ireland Assembly (Elections and Periods of Suspension) Bill"
"div186.030512","Northern Ireland Assembly (Elections and Periods of Suspension) Bill"
"div187.030512","Northern Ireland Assembly (Elections and Periods of Suspension) Bill"
"div188.030513","Finance Bill (Programme) (No. 3)"
"div189.030513","Finance Bill"
"div190.030513","Finance Bill"
"div191.030513","Finance Bill"
"div192.030513","Finance Bill"
"div193.030513","Finance Bill"
"div194.030513","Finance Bill"
"div195.030513","Finance Bill"
"div196.030514","Finance Bill"
"div197.030514","Finance Bill"
"div198.030514","Finance Bill"
"div199.030514","Finance Bill"
"div200.030515","School Funding"
"div201.030515","School Funding"
"div202.030519","Criminal Justice Bill (Programme) (No. 5)"
"div203.030519","Criminal Justice Bill"
"div204.030519","Criminal Justice Bill"
"div205.030519","Criminal Justice Bill"
"div206.030519","Criminal Justice Bill"
"div207.030519","Criminal Justice Bill"
"div208.030520","Criminal Justice Bill"
"div209.030520","Criminal Justice Bill"
"div210.030520","Criminal Justice Bill"
"div211.030520","Criminal Justice Bill"
"div212.030521","European Union (Accessions) Bill"
"div213.030603","Fire Services Bill (Programme) (No. 2)"
"div214.030603","Fire Services Bill"
"div215.030603","Fire Services Bill"
"div216.030603","Fire Services Bill"
"div217.030604","Iraq"
"div218.030604","Pensions"
"div219.030604","Pensions"
"div220.030609","Courts Bill [Lords]"
"div221.030610","Planning and Compulsory Purchase Bill (Carry-Over)"
"div222.030610","Planning and Compulsory Purchase Bill (Extension of Period for Proceedings)"
"div223.030610","Planning and Compulsory Purchase Bill (ReCommittal)"
"div224.030610","Mersey Tunnels Bill (By Order)"
"div225.030610","Mersey Tunnels Bill (By Order)"
"div226.030611","European Treaty Referendum"
"div227.030611","European Treaty Referendum"
"div228.030611","Post Office Card Accounts"
"div229.030611","Post Office Card Accounts"
"div230.030613","Fireworks Bill"
"div231.030613","Fireworks Bill"
"div232.030616","Speaker's Absence"
"div233.030616","Licensing Bill [Lords]"
"div234.030616","Licensing Bill [Lords]"
"div235.030616","Licensing Bill [Lords]"
"div236.030616","Licensing Bill [Lords]"
"div237.030616","Licensing Bill [Lords]"
"div238.030616","Licensing Bill [Lords]"
"div239.030617","Government Reshuffle"
"div240.030617","Community Pharmacies"
"div241.030618","Deferred Division"
"div242.030620","High Hedges (No. 2) Bill"
"div243.030620","High Hedges (No. 2) Bill"
"div244.030623","Student Finance"
"div245.030623","Student Finance"
"div246.030623","Transport"
"div247.030623","Transport"
"div248.030623","Transport"
"div249.030623","Transport"
"div250.030624","Anti-social Behaviour Bill (Programme) (No. 2)"
"div251.030624","Anti-social Behaviour Bill"
"div252.030624","Anti-social Behaviour Bill"
"div253.030624","Iraq (British Forces)"
"div254.030624","Licensing Bill [Lords]"
"div255.030625","Deferred Division"
"div256.030625","Tuition Fees"
"div257.030625","Fair Trade"
"div258.030630","Hunting Bill (Programme) (No. 3)"
"div259.030630","Hunting Bill"
"div260.030630","Hunting Bill"
"div261.030630","Hunting Bill"
"div262.030701","Finance Bill (Programme) (No. 5)"
"div263.030701","Finance Bill"
"div264.030701","Finance Bill"
"div265.030701","Finance Bill"
"div266.030701","Finance Bill"
"div267.030701","Finance Bill"
"div268.030701","Finance Bill"
"div269.030701","Hunting Bill (Programme) (No. 4)"
"div270.030702","Deferred Divisions"
"div271.030702","Deferred Divisions"
"div272.030702","Road and Rail Transport"
"div273.030702","Small Businesses"
"div274.030702","Small Businesses"
"div275.030707","Government Targets"
"div276.030707","Tax Credits"
"div277.030707","Tax Credits"
"div278.030708","House of Lords (Exclusion of Hereditary Peers)"
"div279.030708","Health and Social Care (Community Health and Standards) Bill (Programme) (No. 2)"
"div280.030708","Health and Social Care (Community Health and Standards) Bill"
"div281.030708","Health and Social Care (Community Health and Standards) Bill"
"div282.030708","Health and Social Care (Community Health and Standards) Bill"
"div283.030708","Health and Social Care (Community Health and Standards) Bill"
"div284.030708","Health and Social Care (Community Health and Standards) Bill"
"div285.030709","Convention on the Future of Europe"
"div286.030709","Convention on the Future of Europe"
"div287.030709","Hunting Bill"
"div288.030709","Hunting Bill"
"div289.030714","Communications Bill (Programme) (No. 3)"
"div290.030714","Communications Bill"
"div291.030715","Sexual Offences Bill [Lords]"
"div294.030716","Iraq"
"div295.030716","Vulnerable Children"
"div296.030716","Vulnerable Children"
"div292.030716","Deferred Divisions"
"div293.030716","Deferred Divisions"
"div297.030908","Water Bill"
"div298.030908","Water Bill"
"div299.030908","Water Bill"
"div300.030909","Teacher Shortages"
"div301.030909","Teacher Shortages"
"div305.030910","Fairness and Security in Old Age"
"div306.030910","Fairness and Security in Old Age"
"div307.030910","Role of the United Nations in Iraq"
"div302.030910","Deferred Divisions"
"div303.030910","Deferred Divisions"
"div304.030910","Deferred Divisions"
"div308.030915","Programme Motions"
